project,summary,skills,key_features,concepts,project_type,github_url
NextChat,"NextChat is a light and fast AI assistant that supports multiple platforms, including web, iOS, MacOS, Android, Linux, and Windows. It utilizes various AI models such as Claude, DeepSeek, GPT4, and Gemini Pro. The project is built using a cross-platform approach, allowing it to run on different operating systems. NextChat provides a user-friendly interface for interacting with AI models.","[""TypeScript"", ""React"", ""Next.js"", ""Tauri""]","[""AI Assistant"", ""Cross-platform support"", ""Multi-AI model support""]","[""REST API"", ""Cross-platform development"", ""AI/ML integration""]",AI Assistant,https://github.com/ChatGPTNextWeb/NextChat
realworld,"RealWorld is a fullstack Medium.com clone demo app, showcasing the capabilities of various frameworks such as React, Angular, Node, and Django. It aims to provide a realistic example of building applications with these frameworks, including real-world constraints. The project demonstrates a range of technologies and concepts, making it a valuable resource for developers. It serves as a comparison point for different frameworks.","[""React"", ""Angular"", ""Node"", ""Django"", ""TypeScript""]","[""Fullstack Medium.com clone"", ""Multi-framework support""]","[""Fullstack development"", ""Frontend development"", ""Backend development""]",Demo application,https://github.com/realworld-apps/realworld
RuView,"RuView turns WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection without using video. It works with major smart-home ecosystems and uses physics to detect people and track movement. RuView is a spatial intelligence and sensing system that can measure breathing and heart rate through walls and in the dark. It integrates with Home Assistant, Apple Home, Google Home, and Amazon Alexa.","[""Rust"", ""TypeScript"", ""React"", ""npm""]","[""Spatial intelligence"", ""Vital sign monitoring"", ""Presence detection"", ""Smart-home ecosystem integration""]","[""IoT"", ""WiFi sensing"", ""Spatial intelligence"", ""MQTT""]",IoT,https://github.com/ruvnet/RuView
awesome-react,"A collection of awesome things regarding React ecosystem, including tutorials, frameworks, component libraries, and development tools.","[""JavaScript"", ""React"", ""TypeScript""]","[""React tutorials"", ""React component libraries"", ""React state management"", ""React styling"", ""React testing""]","[""React""]",Curated list,https://github.com/enaqx/awesome-react
superset,Apache Superset is a Data Visualization and Data Exploration Platform. It provides a comprehensive platform for data analysis and business intelligence. The platform offers various features for data exploration and visualization. It is designed to support data-driven decision making.,"[""TypeScript"", ""Python"", ""React"", ""Flask"", ""SQL""]","[""Data Visualization"", ""Data Exploration"", ""Business Intelligence"", ""Data Analysis""]","[""Data Analytics"", ""Data Science"", ""Data Engineering""]",Data Visualization Platform,https://github.com/apache/superset
screenshot-to-code,"This project converts screenshots, mockups, Figma designs, and screen recordings into clean, functional code using AI. It supports various stacks such as HTML, Tailwind, React, Vue, and Bootstrap. The project utilizes AI models like Gemini, GPT, and Claude for code generation. It also supports generating functional prototypes from screen recordings.","[""Python"", ""HTML"", ""Tailwind"", ""React"", ""Vue"", ""Bootstrap"", ""Ionic"", ""CSS""]","[""Screenshot to code conversion"", ""Support for various stacks"", ""AI-powered code generation"", ""Screen recording to prototype""]","[""AI"", ""Machine Learning""]",Code Generation Tool,https://github.com/abi/screenshot-to-code
33-js-concepts,"This repository provides a collection of 33 JavaScript concepts that every developer should know, including clear explanations, practical code examples, and curated resources. It covers fundamental concepts, such as primitive types, and also touches on more advanced topics like JavaScript engines and closures. The project aims to help developers master core JavaScript concepts. It is recognized by GitHub and has a dedicated website for learning.","[""JavaScript"", ""Node.js"", ""Angular"", ""React""]","[""Clear explanations"", ""Practical code examples"", ""Curated resources""]","[""JavaScript fundamentals"", ""Closures"", ""JavaScript engines""]",Education,https://github.com/leonardomso/33-js-concepts
docusaurus,Docusaurus is an open source project for creating and maintaining documentation websites. It is designed to be easy to use and maintain. The project utilizes a variety of technologies to provide a robust documentation platform. It supports features like easy customization and deployment.,"[""TypeScript"", ""JavaScript"", ""React""]","[""Documentation website creation"", ""Easy customization"", ""Easy deployment""]","[""CI/CD"", ""Open-source""]",Documentation platform,https://github.com/facebook/docusaurus
memos,"Memos is an open-source, self-hosted note-taking tool built for quick capture. It is markdown-native, lightweight, and allows users to own their data. The tool is designed for microblogging and note-taking. It is a self-hosted solution, giving users full control over their data.","[""Go"", ""React"", ""SQLite""]","[""Note-taking"", ""Microblogging"", ""Markdown support""]","[""Self-hosted"", ""Docker"", ""Microservices""]",Note-taking application,https://github.com/usememos/memos
zustand,"A state management library for React, providing bear necessities for managing state in React applications. It is built with TypeScript and utilizes React hooks and context. The library aims to simplify state management in React, providing an alternative to Redux. It is suitable for React developers looking for a lightweight state management solution.","[""TypeScript"", ""React"", ""React Hooks""]","[""State management"", ""React integration""]","[""State Management"", ""React Context""]",State Management Library,https://github.com/pmndrs/zustand
react-router,"React Router is a multi-strategy router for React, allowing for declarative routing and flexible integration with existing architectures.","[""TypeScript"", ""React""]","[""Declarative routing"", ""Multi-strategy routing""]","[""Routing""]",Library,https://github.com/remix-run/react-router
appwrite,"Appwrite is an open-source, all-in-one development platform for building web, mobile, and AI applications. It provides a complete cloud infrastructure with features like Auth, Databases, Storage, Functions, Messaging, Hosting, Realtime, and more. Appwrite brings together backend infrastructure and web hosting in one place, allowing teams to build, ship, and scale without stitching together multiple services. It aims to simplify the development process for web, mobile, and AI apps.","[""TypeScript"", ""JavaScript""]","[""Auth"", ""Databases"", ""Storage"", ""Functions"", ""Messaging"", ""Hosting"", ""Realtime""]","[""Backend-as-a-Service"", ""Serverless"", ""Self-Hosted"", ""Docker""]",Backend-as-a-Service,https://github.com/appwrite/appwrite
Gatsby,"Gatsby is a React-based framework for building fast websites and apps, combining dynamic rendering and static-site generation. It offers performance, scalability, and security. Gatsby is free and open-source, creating new possibilities for web development.","[""JavaScript"", ""React"", ""GraphQL""]","[""Static-site generation"", ""Dynamic rendering""]","[""Static-site generation"", ""REST API""]",Web Development Framework,https://github.com/gatsbyjs/gatsby
Flowise,"Flowise is a platform for building AI agents visually. It utilizes a range of technologies including TypeScript, React, and large language models. The project focuses on workflow automation and multiagent systems. It also incorporates concepts like RAG and low-code/no-code development.","[""TypeScript"", ""JavaScript"", ""React""]","[""Visual AI agent building"", ""Workflow automation"", ""Multiagent systems""]","[""RAG"", ""Low-code/No-code"", ""Artificial Intelligence"", ""Machine Learning""]",AI Platform,https://github.com/FlowiseAI/Flowise
plane,"Plane is a modern, open-source project management platform to manage tasks, sprints, docs, and triage, serving as an alternative to Jira, Linear, Monday, and ClickUp.","[""TypeScript"", ""Python"", ""React"", ""Django"", ""PostgreSQL"", ""Redis""]","[""Task management"", ""Sprint management"", ""Documentation management"", ""Triage""]","[""Project management"", ""Docker"", ""Kanban"", ""Gantt""]",Project management platform,https://github.com/makeplane/plane
ionic-framework,"Ionic is a cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript. It enables building modern, fast, and top-quality apps from a single codebase. Ionic supports popular web frameworks and provides significant performance improvements.","[""TypeScript"", ""JavaScript"", ""HTML"", ""CSS"", ""Angular"", ""React"", ""Vue""]","[""Cross-platform UI toolkit"", ""Native-quality iOS and Android apps"", ""Progressive Web Apps""]","[""Frontend"", ""Mobile"", ""PWA"", ""UI Components"", ""Web Components""]",UI Toolkit,https://github.com/ionic-team/ionic-framework
twenty,"An open-source alternative to Salesforce, designed for AI, built using a monorepo architecture and featuring a CRM system.","[""TypeScript"", ""JavaScript"", ""GraphQL"", ""NestJS"", ""React"", ""PostgreSQL""]","[""CRM system"", ""AI integration""]","[""REST API"", ""Monorepo"", ""Microservices""]",CRM,https://github.com/twentyhq/twenty
remotion,Remotion is a framework for creating videos programmatically using React. It allows developers to make videos using code. The project utilizes TypeScript and focuses on video creation. It provides a unique approach to video production.,"[""TypeScript"", ""JavaScript"", ""React""]","[""Programmatic video creation""]","[""Programmatic video generation""]",Video generation framework,https://github.com/remotion-dev/remotion
expo,"Expo is an open-source framework for building universal native apps with React, supporting Android, iOS, and web platforms.","[""TypeScript"", ""JavaScript"", ""React"", ""React Native""]","[""Universal native apps"", ""Cross-platform support""]","[""Frontend"", ""Mobile"", ""Native Apps""]",Mobile App Framework,https://github.com/expo/expo
query,"A powerful asynchronous state management library for the web, supporting various frameworks such as React, Solid, Svelte, and Vue. It provides server-state utilities and data fetching capabilities. The library is built with TypeScript and supports features like caching and GraphQL. It aims to simplify data management in web applications.","[""TypeScript"", ""React"", ""Solid"", ""Svelte"", ""Vue"", ""GraphQL""]","[""asynchronous state management"", ""server-state utilities"", ""data fetching""]","[""REST API"", ""Caching"", ""Async""]",State Management Library,https://github.com/TanStack/query
tldraw,"tldraw is a React SDK for building infinite canvas apps, enabling features like collaboration, design, and drawing. It provides a top-rated solution for creating interactive and multiplayer experiences. The SDK is built with TypeScript and offers a range of functionalities for developers. It is suitable for applications that require a high degree of customization and interactivity.","[""TypeScript"", ""React""]","[""Infinite Canvas"", ""Collaboration"", ""Multiplayer"", ""Drawing"", ""Design""]","[""SDK"", ""Collaboration"", ""Multiplayer""]",SDK,https://github.com/tldraw/tldraw
awesome-react-components,"A curated list of React components and libraries that solve real problems in a unique, beautiful, or exceptional way. The list is regularly updated and features recent code commits. It highlights truly amazing projects and provides maintainer commentary and reviews.","[""React""]","[""Component library"", ""Curation""]","[""Component-based architecture""]",Component library,https://github.com/brillout/awesome-react-components
react,"A cheatsheet for experienced React developers to get started with TypeScript, providing a guide on using React with TypeScript.","[""TypeScript"", ""React""]","[""Cheatsheet"", ""Guide""]","[""TypeScript Integration""]",Documentation,https://github.com/typescript-cheatsheets/react
30-Days-Of-JavaScript,"A 30-day step-by-step guide to learn JavaScript programming language. The project covers various topics including data types, booleans, operators, and more. It is designed to help learners follow at their own pace. The project utilizes a range of technologies and frameworks.","[""JavaScript"", ""HTML"", ""CSS"", ""Node.js"", ""Angular"", ""React"", ""Redux"", ""Vue"", ""TypeScript"", ""D3.js"", ""JSON""]","[""Introduction to JavaScript"", ""Data types"", ""Booleans and operators"", ""Date handling""]","[""JavaScript programming"", ""Web development"", ""Front-end development""]",Programming challenge,https://github.com/Asabeneh/30-Days-Of-JavaScript
meteor,Meteor is a JavaScript App Platform for building modern web applications. It provides an ultra-simple environment for development. Meteor supports reactive programming and real-time updates. It integrates with MongoDB and Node.js.,"[""JavaScript"", ""Node.js"", ""MongoDB"", ""React""]","[""Reactive Programming"", ""Real-time Updates"", ""Zero-configuration""]","[""REST API"", ""Reactive Programming"", ""RPC""]",Web Application Framework,https://github.com/meteor/meteor
react-hook-form,React Hook Form is a library for managing form state and validation in React and React Native applications. It provides an efficient and easy-to-use solution for handling forms. The library is built with TypeScript and supports both web and mobile applications. It aims to improve developer experience and user experience.,"[""TypeScript"", ""React"", ""React Native""]","[""Form State Management"", ""Validation""]","[""Validation"", ""State Management""]",Library,https://github.com/react-hook-form/react-hook-form
reactjs-interview-questions,"A list of top 500 ReactJS interview questions and answers, with coding exercise questions coming soon. The project is built to help with interview preparation and features a collection of JavaScript and React-related topics.","[""JavaScript"", ""React""]","[""Interview questions and answers"", ""Coding exercises""]","[""JavaScript Applications"", ""React""]",Interview Preparation,https://github.com/sudheerj/reactjs-interview-questions
hyper,"A terminal built on web technologies, aiming to create a beautiful and extensible experience for command-line interface users. The project focuses on speed, stability, and developing a correct API for extension authors. It is built on open web standards.","[""TypeScript"", ""JavaScript"", ""React"", ""HTML"", ""CSS""]","[""Terminal emulator"", ""Extensible API""]","[""Web technologies"", ""API design""]",Terminal emulator,https://github.com/vercel/hyper
jsoncrack.com,An innovative and open-source visualization application that transforms various data formats into interactive graphs.,"[""TypeScript"", ""React"", ""Next.js""]","[""Data transformation"", ""Interactive graph visualization""]","[""Visualization""]",Data Visualization Tool,https://github.com/AykutSarac/jsoncrack.com
react-use,"A collection of essential React Hooks. It is a port of a similar project, built with TypeScript.","[""TypeScript"", ""React""]","[""React Hooks""]","[""Hooks""]",Library,https://github.com/streamich/react-use
full-stack-fastapi-template,"A full stack, modern web application template using FastAPI, React, and PostgreSQL. It features automatic HTTPS, Docker, and GitHub Actions. The template includes a range of technologies such as SQLModel, Chakra-UI, and Traefik. It is designed for building fast and scalable web applications.","[""FastAPI"", ""React"", ""SQLModel"", ""PostgreSQL"", ""Docker"", ""TypeScript"", ""Python"", ""JavaScript""]","[""Automatic HTTPS"", ""Modern web application template"", ""Full stack development""]","[""REST API"", ""Authentication"", ""JWT"", ""CI/CD"", ""Docker"", ""Microservices""]",Web Application Template,https://github.com/fastapi/full-stack-fastapi-template
payload,"Payload is an open-source, full-stack Next.js framework that provides instant backend capabilities, including a TypeScript backend and admin panel. It can be used as a headless CMS or for building powerful applications.","[""TypeScript"", ""Next.js"", ""Express"", ""GraphQL"", ""JavaScript"", ""MongoDB"", ""Postgres"", ""React"", ""Node.js""]","[""Headless CMS"", ""Admin panel"", ""Full-stack framework""]","[""Headless CMS"", ""REST API"", ""Authentication""]",Full-stack framework,https://github.com/payloadcms/payload
react-bits,"An open source collection of animated, interactive & fully customizable React components for building memorable websites. It offers 130+ free, customizable animations for text, backgrounds, and UI. The library is designed to help developers stand out with creative and interactive components. It is built using React and utilizes Tailwind CSS for styling.","[""JavaScript"", ""React"", ""Tailwind CSS"", ""CSS""]","[""Animated React components"", ""Customizable animations"", ""Interactive components"", ""UI library""]","[""Component Library"", ""UI Components"", ""Frontend Development""]",Component Library,https://github.com/DavidHDev/react-bits
styled-components,"styled-components is a library for fast and expressive styling in React, supporting server components, client components, streaming SSR, and React Native with a single API.","[""TypeScript"", ""React"", ""CSS"", ""CSS-in-JS""]","[""Server components"", ""Client components"", ""Streaming SSR"", ""React Native support""]","[""React"", ""CSS-in-JS"", ""Server-side rendering""]",UI Component Library,https://github.com/styled-components/styled-components
chakra-ui,Chakra UI is a component system for building SaaS products with speed. It provides a set of accessible and customizable UI components for React applications. The project focuses on building accessible React apps with speed. It utilizes a CSS-in-JS approach for styling.,"[""TypeScript"", ""React"", ""CSS-in-JS""]","[""Accessible UI components"", ""Customizable components"", ""CSS-in-JS styling""]","[""Accessibility (a11y)"", ""Component-driven development""]",UI Component Library,https://github.com/chakra-ui/chakra-ui
trpc,"tRPC is a project that enables end-to-end typesafe APIs, making it easy to move fast and break nothing. It utilizes TypeScript and supports frameworks like Next.js and React. The project also integrates with Prisma for database management.","[""TypeScript"", ""Next.js"", ""React"", ""Prisma""]","[""End-to-end typesafe APIs""]","[""API"", ""Type Safety""]",API Framework,https://github.com/trpc/trpc
appsmith,"Appsmith is a platform for building admin panels, internal tools, and dashboards. It integrates with 25+ databases and any API, providing a low-code framework for custom internal tools and automation. The platform supports CRUD operations and workflows. It is designed for self-hosted deployment.","[""TypeScript"", ""JavaScript"", ""React"", ""Java""]","[""Admin panel builder"", ""Internal tool builder"", ""Dashboard builder"", ""Integration with 25+ databases"", ""API integration""]","[""Low-code framework"", ""CRUD operations"", ""Automation"", ""Self-hosted"", ""GUI application""]",Low-code platform,https://github.com/appsmithorg/appsmith
esbuild,"esbuild is an extremely fast bundler for the web, designed to be 10-100x faster than current build tools. It supports various formats such as commonjs, esm, javascript, jsx, and typescript. The project aims to improve the performance of web development. esbuild is built using Go.","[""Go"", ""JavaScript"", ""TypeScript"", ""CSS""]","[""Bundling"", ""Compiling"", ""Minifying""]","[""Compiler"", ""Bundler"", ""Minifier""]",Build Tool,https://github.com/evanw/esbuild
angular,"Angular is a development platform for building mobile and desktop web applications using TypeScript/JavaScript and other languages, delivering web apps with confidence.","[""TypeScript"", ""JavaScript""]","[""web applications"", ""mobile applications"", ""desktop applications"", ""PWA""]","[""Web Framework""]",Web Framework,
angular.js,"AngularJS is a JavaScript framework that enhances HTML for web apps, providing 2-way data binding, dependency injection, and inversion of control. It simplifies server-side communication, async callbacks, and client-side navigation. AngularJS makes development fun and helps structure applications for better testing.","[""JavaScript""]","[""2-way data binding"", ""dependency injection"", ""inversion of control"", ""server-side communication"", ""client-side navigation""]","[""Dependency Injection"", ""2-way Data Binding""]",Frontend Framework,https://github.com/angular/angular.js
prettier,"Prettier is an opinionated code formatter that supports multiple programming languages and file formats, including JavaScript, TypeScript, Flow, JSX, JSON, CSS, SCSS, Less, HTML, Vue, Angular, GraphQL, Markdown, and YAML. It automatically formats code to ensure consistency and readability. Prettier is widely used in various development projects and is compatible with several frameworks and libraries. Its primary goal is to simplify code formatting and reduce manual formatting efforts.","[""JavaScript"", ""TypeScript"", ""Flow"", ""CSS"", ""HTML"", ""JSON"", ""JSX"", ""Less"", ""SCSS"", ""Markdown"", ""YAML""]","[""Code Formatting"", ""Multi-Language Support"", ""Automatic Formatting""]","[""Code Formatting"", ""AST""]",Developer Tool,https://github.com/prettier/prettier
paperless-ngx,"A community-supported document management system for scanning, indexing, and archiving documents. It utilizes machine learning and optical character recognition for efficient document processing.","[""Python"", ""Angular"", ""Django""]","[""Document scanning"", ""Indexing"", ""Archiving""]","[""Machine Learning"", ""OCR""]",Document Management System,https://github.com/paperless-ngx/paperless-ngx
sheetjs,SheetJS is a spreadsheet data toolkit that provides solutions for extracting and generating spreadsheet data. It supports various file formats and is compatible with multiple frameworks and libraries. The project offers battle-tested open-source solutions for working with complex spreadsheets. It has been migrated to a new repository.,"[""javascript"", ""nodejs"", ""angular"", ""react"", ""vue"", ""deno"", ""html"", ""html5""]","[""spreadsheet data extraction"", ""spreadsheet generation"", ""file format support""]","[""data processing"", ""file parsing""]",data processing toolkit,https://github.com/SheetJS/sheetjs
CopilotKit,"CopilotKit is a frontend stack for building agent-native applications with generative UI, shared state, and human-in-the-loop workflows. It supports various frameworks such as React, Angular, and Vue. The project enables developers to build applications on any surface, including React Native and beyond the browser. It provides a set of tools for creating intelligent and interactive applications.","[""TypeScript"", ""React"", ""Angular"", ""Next.js"", ""JavaScript""]","[""Generative UI"", ""Shared State"", ""Human-in-the-loop Workflows"", ""Multi-framework Support""]","[""Generative UI"", ""Agent-native Applications"", ""Human-in-the-loop""]",Frontend Framework,https://github.com/CopilotKit/CopilotKit
wails,"Wails is a project that enables building desktop applications using Go and web technologies. It allows developers to create beautiful applications with a combination of Go and JavaScript frameworks like Angular, React, and Vue.js. The project supports multiple platforms, including Linux, macOS, and Windows. Wails provides a unique approach to desktop application development.","[""Go"", ""JavaScript"", ""Angular"", ""React"", ""Vue.js"", ""Svelte""]","[""Desktop application development"", ""Web technologies integration""]","[""Desktop Application""]",Desktop Application Framework,https://github.com/wailsapp/wails
nx,"Nx is a monorepo platform that optimizes builds, scales CI, and automates failed PR fixes, allowing for faster shipping. It supports various frameworks such as Angular, React, and Next.js. Nx is built using TypeScript and provides a range of tools for building and testing applications. It aims to amplify the productivity of both developers and AI agents.","[""TypeScript"", ""JavaScript"", ""Angular"", ""React"", ""Next.js"", ""Node.js"", ""Cypress""]","[""Optimized builds"", ""Scaled CI"", ""Automated PR fixes"", ""Monorepo support""]","[""Monorepo"", ""CI/CD"", ""Build automation""]",Build Tool,https://github.com/nrwl/nx
todomvc,"A comparison of Todo apps for various JavaScript frameworks, allowing developers to compare syntax, structure, and idioms side by side. It helps in selecting a suitable JavaScript framework. The project has been a teaching example for UI frameworks for over a decade. It forms the core of the cross-browser Speedometer.","[""JavaScript""]","[""Todo app implementation"", ""Framework comparison""]","[""UI frameworks"", ""Cross-browser compatibility""]",Comparison project,https://github.com/tastejs/todomvc
javascript-interview-questions,"A list of 1000 JavaScript interview questions, covering various topics such as Angular, React, and VueJS, with a focus on core JavaScript concepts and applications.","[""JavaScript"", ""Angular"", ""React"", ""VueJS""]","[""Interview questions"", ""Coding challenges"", ""In-browser practice""]","[""Frontend Development""]",Interview Preparation,https://github.com/sudheerj/javascript-interview-questions
angular-cli,"The Angular CLI is a command-line interface tool for initializing, developing, scaffolding, and maintaining Angular applications. It provides a convenient way to manage Angular projects from a command shell. The tool is built using TypeScript and provides a range of features for Angular development. It simplifies the process of creating and managing Angular applications.","[""TypeScript"", ""Angular""]","[""Project initialization"", ""Scaffolding"", ""Application development"", ""Maintenance""]","[""CLI"", ""Command-line interface""]",Development Tool,https://github.com/angular/angular-cli
ngx-admin,ngx-admin is a customizable admin dashboard template based on Angular 10+. It provides a responsive and material-themed interface for administrative tasks.,"[""TypeScript"", ""Angular"", ""Bootstrap 4"", ""Sass"", ""Webpack""]","[""Customizable admin dashboard"", ""Responsive design"", ""Material theme""]","[""Frontend Development"", ""Single-Page Application""]",Admin Dashboard Template,https://github.com/akveo/ngx-admin
NativeScript,"NativeScript is a framework for building cross-platform mobile applications using various technologies such as Angular, React, and Vue. It supports multiple platforms including iOS and Android. Developers can use their preferred programming languages and frameworks to build native mobile apps.","[""TypeScript"", ""JavaScript"", ""Java"", ""Kotlin"", ""Swift"", ""Objective-C"", ""Angular"", ""React"", ""Vue"", ""Flutter""]","[""Cross-platform support"", ""Multi-framework compatibility""]","[""Cross-platform development""]",Mobile Application Framework,https://github.com/NativeScript/NativeScript
components,"This repository provides Component infrastructure and Material Design components for Angular, built and maintained by the Angular team. It includes a collection of headless, accessible directives that implement common WAI-ARIA patterns. The team maintains several npm packages. The project is primarily focused on UI components and tools for custom component development.","[""TypeScript"", ""Angular""]","[""UI components"", ""Material Design components"", ""accessible directives"", ""WAI-ARIA patterns""]","[""UI components"", ""Accessibility""]",Frontend framework,https://github.com/angular/components
javascript-testing-best-practices,"A comprehensive guide to JavaScript and Node.js testing best practices, covering over 50 best practices and advanced topics such as testing in production, mutation testing, and property-based testing. The guide is full-stack, covering front-end, back-end, and CI testing practices. It aims to take the reader's testing skills to the next level, going beyond the basics and into strategic and professional tools.","[""JavaScript"", ""Node.js"", ""Angular"", ""React"", ""Express"", ""Jest"", ""Mocha"", ""Chai""]","[""Comprehensive testing guide"", ""Advanced testing topics"", ""Full-stack testing coverage""]","[""Testing"", ""CI/CD"", ""Mutation Testing"", ""Integration Testing"", ""Unit Testing"", ""E2E Testing""]",Testing Guide,https://github.com/goldbergyoni/javascript-testing-best-practices
angular-styleguide,"A starting point for Angular development teams to provide consistency through good practices, providing a style guide for syntax, conventions, and structuring Angular applications.","[""Angular"", ""Vim Snippet""]","[""Style Guide"", ""Syntax Conventions"", ""Angular Application Structuring""]","[""Angular""]",Style Guide,https://github.com/johnpapa/angular-styleguide
rxdb,"rxdb is a local-first database that runs on every JavaScript runtime and replicates with existing backends, providing a vendor-agnostic and lock-in free solution.","[""TypeScript"", ""JavaScript"", ""Angular"", ""React Native"", ""Node.js"", ""GraphQL"", ""IndexedDB"", ""Postgres"", ""SQLite""]","[""Local-first database"", ""Realtime replication"", ""Multi-backend support""]","[""NoSQL"", ""CRDT"", ""Realtime database"", ""Local storage""]",Database,https://github.com/pubkey/rxdb
generator-jhipster,"JHipster is a development platform to quickly generate, develop, and deploy modern web applications and microservice architectures.","[""TypeScript"", ""Java"", ""Angular"", ""React"", ""Spring Boot"", ""Docker"", ""Kubernetes"", ""Webpack"", ""Yeoman Generator""]","[""Web application generation"", ""Microservice architecture generation"", ""Deployment""]","[""Microservices"", ""Docker"", ""CI/CD""]",Development Platform,https://github.com/jhipster/generator-jhipster
handsontable,"Handsontable is a JavaScript Data Grid with a spreadsheet-like look and feel, compatible with React, Angular, and Vue.","[""JavaScript"", ""React"", ""Angular"", ""Vue"", ""TypeScript""]","[""Data Grid"", ""Data Table"", ""Spreadsheet-like interface"", ""CRUD operations"", ""Data editing""]","[""Component"", ""Data management"", ""Grid component""]",Data Grid Library,https://github.com/handsontable/handsontable
